88:A2:9E:9B:5E:6A,B8:27:EB:D3:40:06,D8:3A:DD:79:8E:BF,D8:3A:DD:79:8F:80,D8:3A:DD:C1:88:BD
-87.45454545454545,-89.11111111111111,-83.46237979369916,-63.11666666666667,-90.0
-98.25,-97.0,-83.46237979369916,-91.6,-98.0
-84.33962264150944,-88.18181818181819,-83.46237979369916,-56.81040892193309,-90.75
-99.5,-79.52631578947368,-78.1875,-98.0,-89.95268995137417
-75.35897435897436,-86.5,-83.46237979369916,-83.83333333333333,-89.95268995137417
-86.875,-83.93103448275862,-83.46237979369916,-86.05555555555556,-89.95268995137417
-85.53321575819226,-76.34782608695652,-76.59649122807018,-84.0,-89.95268995137417
-96.75,-84.26382188748329,-83.46237979369916,-93.375,-92.5
-92.0,-73.8,-63.22222222222222,-80.95983555403093,-89.95268995137417
-95.85714285714286,-84.26382188748329,-83.46237979369916,-91.0,-97.66666666666667
-78.39393939393939,-85.22916666666667,-91.16666666666667,-83.51724137931035,-89.95268995137417
-90.0,-75.875,-88.0,-80.95983555403093,-89.95268995137417
-80.5,-77.33333333333333,-83.46237979369916,-88.5,-89.95268995137417
-96.0,-84.26382188748329,-83.46237979369916,-85.5,-85.5
-90.0,-75.82857142857142,-69.58823529411765,-80.95983555403093,-89.95268995137417
-78.88679245283019,-79.26506024096386,-85.66666666666667,-85.45,-89.95268995137417
-76.13636363636364,-79.859375,-83.46237979369916,-75.2,-89.95268995137417
-83.5,-74.0,-83.46237979369916,-53.0,-89.95268995137417
-89.5,-77.51898734177215,-89.17647058823529,-93.4,-89.95268995137417
-93.0,-91.0,-83.46237979369916,-58.166666666666664,-98.0
-88.08333333333333,-86.78947368421052,-83.46237979369916,-81.08333333333333,-89.95268995137417
-85.53321575819226,-87.60606060606061,-83.45945945945945,-102.0,-89.95268995137417
-89.5,-95.25,-83.46237979369916,-82.0,-89.95268995137417
-94.0,-85.47368421052632,-83.46237979369916,-88.42105263157895,-89.95268995137417
-84.55882352941177,-76.29411764705883,-85.72727272727273,-91.95,-89.95268995137417
-95.83333333333333,-102.0,-83.46237979369916,-94.28571428571429,-92.92857142857143
-76.4090909090909,-83.33333333333333,-83.46237979369916,-91.0,-89.95268995137417
-92.6,-93.0,-83.46237979369916,-89.75,-89.95268995137417
-65.0,-86.33333333333333,-92.56521739130434,-80.95983555403093,-89.95268995137417
-84.0,-76.5,-92.0,-80.95983555403093,-89.95268995137417
-84.0,-73.6923076923077,-83.46237979369916,-86.0,-89.95268995137417
-91.0,-80.4,-88.5,-93.0,-89.95268995137417
-63.32786885245902,-86.04166666666667,-83.46237979369916,-79.15094339622641,-89.95268995137417
-75.0,-84.26382188748329,-80.0,-83.6,-89.95268995137417
-87.3,-84.0,-83.46237979369916,-75.28571428571429,-89.95268995137417
-82.72727272727273,-81.0952380952381,-85.8,-75.1304347826087,-89.95268995137417
