id	team	sensor	mac	temp	humidity	aqi	tvoc	eco2	created_at	lat	lon	sender	rssi	timestamp
389	team 4	sensor 4	D8:3A:DD:79:8F:80	21.72	19.49	1	0	400	2026-04-24 00:04:46.858330	36.6303215	127.4557794	31122ca08c52bb58	-49	1776989082
390	team 4	sensor 4	D8:3A:DD:79:8F:80	21.81	19.46	1	0	400	2026-04-24 00:04:46.859877	36.6303215	127.4557794	31122ca08c52bb58	-50	1776989086
391	team 4	sensor 4	88:A2:9E:9B:5E:6A	21	25.34	1	60	477	2026-04-24 00:04:46.860735	36.6303215	127.4557794	31122ca08c52bb58	-84	1776989085
392	team 4	sensor 4	88:A2:9E:9B:5E:6A	21.01	25.45	1	61	478	2026-04-24 00:04:48.744211	36.6303215	127.4557794	31122ca08c52bb58	-86	1776989087
393	team 4	sensor 4	D8:3A:DD:79:8F:80	21.82	19.47	1	0	400	2026-04-24 00:04:48.745680	36.6303215	127.4557794	31122ca08c52bb58	-52	1776989088
394	team 4	sensor 4	D8:3A:DD:79:8F:80	21.82	19.47	1	0	400	2026-04-24 00:04:50.006222	36.6303215	127.4557794	31122ca08c52bb58	-50	1776989088
395	team 4	sensor 4	D8:3A:DD:79:8F:80	21.85	19.45	1	0	400	2026-04-24 00:04:50.744600	36.6303215	127.4557794	31122ca08c52bb58	-52	1776989090
396	team 4	sensor 4	88:A2:9E:9B:5E:6A	21.02	25.41	1	52	461	2026-04-24 00:04:50.746790	36.6303215	127.4557794	31122ca08c52bb58	-83	1776989089
397	team 4	sensor 4	88:A2:9E:9B:5E:6A	21.01	25.44	2	68	492	2026-04-24 00:04:51.474031	36.6303215	127.4557794	31122ca08c52bb58	-86	1776989091
398	team 4	sensor 4	D8:3A:DD:79:8F:80	21.85	19.45	1	0	400	2026-04-24 00:04:52.021397	36.6303215	127.4557794	31122ca08c52bb58	-50	1776989090
399	team 4	sensor 4	D8:3A:DD:79:8F:80	21.86	19.38	1	0	400	2026-04-24 00:04:52.733888	36.6303215	127.4557794	31122ca08c52bb58	-48	1776989092
400	team 4	sensor 4	88:A2:9E:9B:5E:6A	21.01	25.44	2	68	492	2026-04-24 00:04:52.734981	36.6303215	127.4557794	31122ca08c52bb58	-84	1776989091
401	team 4	sensor 4	88:A2:9E:9B:5E:6A	21.02	25.46	1	57	471	2026-04-24 00:04:53.466308	36.6303215	127.4557794	31122ca08c52bb58	-86	1776989093
402	team 4	sensor 4	D8:3A:DD:79:8F:80	21.86	19.38	1	0	400	2026-04-24 00:04:54.011227	36.6303215	127.4557794	31122ca08c52bb58	-65	1776989092
403	team 4	sensor 4	D8:3A:DD:79:8F:80	21.86	19.35	1	0	400	2026-04-24 00:04:54.745525	36.6303215	127.4557794	31122ca08c52bb58	-65	1776989094
404	team 4	sensor 4	D8:3A:DD:79:8F:80	21.86	19.35	1	0	400	2026-04-24 00:04:56.011186	36.6303215	127.4557794	31122ca08c52bb58	-53	1776989094
405	team 4	sensor 4	D8:3A:DD:79:8F:80	21.88	19.31	1	0	400	2026-04-24 00:04:57.996572	36.6303215	127.4557794	31122ca08c52bb58	-60	1776989096
406	team 4	sensor 4	D8:3A:DD:79:8F:80	21.91	19.29	1	0	400	2026-04-24 00:04:58.736258	36.6303215	127.4557794	31122ca08c52bb58	-56	1776989098
407	team 4	sensor 4	88:A2:9E:9B:5E:6A	21.07	25.45	1	64	486	2026-04-24 00:04:58.811085	36.6303215	127.4557794	31122ca08c52bb58	-84	1776989097
408	team 4	sensor 4	D8:3A:DD:79:8F:80	21.91	19.29	1	0	400	2026-04-24 00:05:00.015655	36.6303215	127.4557794	31122ca08c52bb58	-69	1776989098
409	team 4	sensor 4	D8:3A:DD:79:8F:80	21.92	19.26	1	0	400	2026-04-24 00:05:00.776481	36.6303215	127.4557794	31122ca08c52bb58	-65	1776989100
410	team 4	sensor 4	88:A2:9E:9B:5E:6A	21.07	25.5	2	67	490	2026-04-24 00:05:00.806568	36.6303215	127.4557794	31122ca08c52bb58	-84	1776989099
411	team 4	sensor 4	88:A2:9E:9B:5E:6A	21.03	25.45	2	71	497	2026-04-24 00:05:01.472873	36.6303215	127.4557794	31122ca08c52bb58	-84	1776989101
412	team 4	sensor 4	D8:3A:DD:79:8F:80	21.93	19.31	1	0	400	2026-04-24 00:05:02.756111	36.6303215	127.4557794	31122ca08c52bb58	-47	1776989102
413	team 4	sensor 4	88:A2:9E:9B:5E:6A	21.03	25.45	2	71	497	2026-04-24 00:05:02.845840	36.6303215	127.4557794	31122ca08c52bb58	-82	1776989101
414	team 4	sensor 4	D8:3A:DD:79:8F:80	21.93	19.31	1	0	400	2026-04-24 00:05:04.036975	36.6303215	127.4557794	31122ca08c52bb58	-49	1776989102
415	team 4	sensor 4	D8:3A:DD:79:8F:80	21.92	19.25	1	0	400	2026-04-24 00:05:04.736387	36.6303215	127.4557794	31122ca08c52bb58	-53	1776989104
416	team 4	sensor 4	88:A2:9E:9B:5E:6A	21.02	25.42	2	67	490	2026-04-24 00:05:04.789021	36.6303215	127.4557794	31122ca08c52bb58	-83	1776989103
417	team 4	sensor 4	88:A2:9E:9B:5E:6A	21.02	25.38	1	48	453	2026-04-24 00:05:05.496513	36.6303215	127.4557794	31122ca08c52bb58	-80	1776989105
418	team 4	sensor 4	D8:3A:DD:79:8F:80	21.92	19.25	1	0	400	2026-04-24 00:05:06.026255	36.6303215	127.4557794	31122ca08c52bb58	-51	1776989104
419	team 4	sensor 4	D8:3A:DD:79:8F:80	21.94	19.26	1	0	400	2026-04-24 00:05:06.766380	36.6303215	127.4557794	31122ca08c52bb58	-48	1776989106
420	team 4	sensor 4	88:A2:9E:9B:5E:6A	21.02	25.38	1	48	453	2026-04-24 00:05:06.796321	36.6303215	127.4557794	31122ca08c52bb58	-81	1776989105
421	team 4	sensor 4	D8:3A:DD:79:8F:80	21.94	19.26	1	0	400	2026-04-24 00:05:08.041637	36.6303215	127.4557794	31122ca08c52bb58	-49	1776989106
422	team 4	sensor 4	D8:3A:DD:79:8F:80	21.94	19.27	1	0	400	2026-04-24 00:05:08.750318	36.6303215	127.4557794	31122ca08c52bb58	-55	1776989108
423	team 4	sensor 4	88:A2:9E:9B:5E:6A	21.01	25.38	1	64	484	2026-04-24 00:05:08.752741	36.6303215	127.4557794	31122ca08c52bb58	-88	1776989107
424	team 4	sensor 4	88:A2:9E:9B:5E:6A	21.02	25.42	2	71	497	2026-04-24 00:05:09.486264	36.6303215	127.4557794	31122ca08c52bb58	-92	1776989109
425	team 4	sensor 4	D8:3A:DD:79:8F:80	21.94	19.27	1	0	400	2026-04-24 00:05:10.056418	36.6303215	127.4557794	31122ca08c52bb58	-49	1776989108
426	team 4	sensor 4	D8:3A:DD:79:8F:80	21.93	19.26	1	0	400	2026-04-24 00:05:10.756196	36.630172	127.4557935	31122ca08c52bb58	-48	1776989110
427	team 4	sensor 4	D8:3A:DD:79:8F:80	21.95	19.25	1	0	400	2026-04-24 00:05:12.761339	36.63026	127.4557959	31122ca08c52bb58	-56	1776989112
428	team 4	sensor 4	88:A2:9E:9B:5E:6A	20.98	25.39	2	68	493	2026-04-24 00:05:12.816249	36.63026	127.4557959	31122ca08c52bb58	-81	1776989111
429	team 4	sensor 4	D8:3A:DD:79:8F:80	21.95	19.25	1	0	400	2026-04-24 00:05:14.046534	36.6302581	127.4557952	31122ca08c52bb58	-57	1776989112
430	team 4	sensor 4	D8:3A:DD:79:8F:80	21.96	19.3	1	0	400	2026-04-24 00:05:14.761408	36.6302581	127.4557952	31122ca08c52bb58	-60	1776989114
431	team 4	sensor 4	88:A2:9E:9B:5E:6A	20.95	25.37	1	63	482	2026-04-24 00:05:14.826326	36.6302581	127.4557952	31122ca08c52bb58	-88	1776989113
432	team 4	sensor 4	D8:3A:DD:79:8F:80	21.96	19.3	1	0	400	2026-04-24 00:05:16.051331	36.6302581	127.4557952	31122ca08c52bb58	-52	1776989114
433	team 4	sensor 4	D8:3A:DD:79:8F:80	22.01	19.31	1	0	400	2026-04-24 00:05:16.756340	36.6302581	127.4557952	31122ca08c52bb58	-53	1776989116
434	team 4	sensor 4	D8:3A:DD:79:8F:80	22.01	19.31	1	0	400	2026-04-24 00:05:18.051138	36.6302581	127.4557952	31122ca08c52bb58	-53	1776989116
435	team 4	sensor 4	D8:3A:DD:79:8F:80	22.02	19.28	1	0	400	2026-04-24 00:05:20.056379	36.6302581	127.4557952	31122ca08c52bb58	-50	1776989118
436	team 4	sensor 4	D8:3A:DD:79:8F:80	22.05	19.27	1	0	400	2026-04-24 00:05:20.756266	36.6302581	127.4557952	31122ca08c52bb58	-51	1776989120
437	team 4	sensor 4	88:A2:9E:9B:5E:6A	20.87	25.51	2	73	502	2026-04-24 00:05:21.541692	36.6302581	127.4557952	31122ca08c52bb58	-83	1776989121
438	team 4	sensor 4	D8:3A:DD:79:8F:80	22.05	19.27	1	0	400	2026-04-24 00:05:22.051110	36.6302581	127.4557952	31122ca08c52bb58	-53	1776989120
439	team 4	sensor 4	88:A2:9E:9B:5E:6A	20.87	25.51	2	73	502	2026-04-24 00:05:22.786405	36.6302581	127.4557952	31122ca08c52bb58	-78	1776989121
440	team 4	sensor 4	88:A2:9E:9B:5E:6A	20.85	25.5	1	54	465	2026-04-24 00:05:23.536293	36.6302581	127.4557952	31122ca08c52bb58	-85	1776989123
441	team 4	sensor 4	88:A2:9E:9B:5E:6A	20.85	25.5	1	54	465	2026-04-24 00:05:24.796531	36.6302581	127.4557952	31122ca08c52bb58	-88	1776989123
442	team 4	sensor 4	D8:3A:DD:79:8F:80	22.05	19.2	1	0	400	2026-04-24 00:05:26.061041	36.6302581	127.4557952	31122ca08c52bb58	-53	1776989124
443	team 4	sensor 4	D8:3A:DD:79:8F:80	22.07	19.22	1	0	400	2026-04-24 00:05:26.761262	36.6302581	127.4557952	31122ca08c52bb58	-54	1776989126
444	team 4	sensor 4	88:A2:9E:9B:5E:6A	20.87	25.53	1	49	456	2026-04-24 00:05:26.801328	36.6302581	127.4557952	31122ca08c52bb58	-84	1776989125
445	team 4	sensor 4	D8:3A:DD:79:8F:80	22.07	19.22	1	0	400	2026-04-24 00:05:28.051317	36.6302581	127.4557952	31122ca08c52bb58	-45	1776989126
446	team 4	sensor 4	D8:3A:DD:79:8F:80	22.08	19.24	1	0	400	2026-04-24 00:05:28.776473	36.6302581	127.4557952	31122ca08c52bb58	-57	1776989128
447	team 4	sensor 4	88:A2:9E:9B:5E:6A	20.89	25.57	1	61	479	2026-04-24 00:05:28.829391	36.6302581	127.4557952	31122ca08c52bb58	-82	1776989127
448	team 4	sensor 4	D8:3A:DD:C1:88:BD	27.09	13.93	1	0	400	2026-04-24 00:05:30.016108	36.6302581	127.4557952	31122ca08c52bb58	-96	1776989098
449	team 4	sensor 4	D8:3A:DD:79:8F:80	22.08	19.24	1	0	400	2026-04-24 00:05:30.056613	36.6302581	127.4557952	31122ca08c52bb58	-51	1776989128
450	team 4	sensor 4	D8:3A:DD:79:8F:80	22.1	19.25	1	0	400	2026-04-24 00:05:30.806183	36.6302581	127.4557952	31122ca08c52bb58	-52	1776989130
451	team 4	sensor 4	D8:3A:DD:79:8F:80	22.1	19.25	1	0	400	2026-04-24 00:05:32.061413	36.6302581	127.4557952	31122ca08c52bb58	-53	1776989130
