lat_r,lon_r
36.63,127.456
36.6304,127.4552
36.6303,127.4558
36.6294,127.4569
36.6298,127.4564
36.6297,127.4565
36.6292,127.4573
36.6305,127.4552
36.6292,127.4577
36.6303,127.4554
36.631,127.4544
36.6296,127.4571
36.6296,127.4568
36.6308,127.4548
36.6288,127.4579
36.6299,127.4562
36.6303,127.4559
36.6297,127.4568
36.6294,127.457
36.6304,127.4554
36.6297,127.4566
36.6291,127.4575
36.6301,127.4559
36.6296,127.4567
36.6294,127.4574
36.6305,127.4551
36.6295,127.4574
36.6301,127.4557
36.6293,127.4572
36.6295,127.4572
36.6285,127.4569
36.6294,127.4571
36.6298,127.4563
36.6291,127.4577
36.6304,127.4558
36.6289,127.4571
36.6305,127.455
36.6297,127.4569
36.6306,127.4553
36.6301,127.456
36.6325,127.4526
36.6301,127.4558
36.6299,127.456
36.63,127.4561
36.6303,127.4555
36.6299,127.4564
36.6303,127.4557
36.6302,127.4557
36.6317,127.4536
36.6304,127.4566
36.6298,127.4567
36.6301,127.4562
36.63,127.4559
36.6306,127.4552
36.6301,127.4561
36.6297,127.4564
36.6322,127.4534
36.6302,127.4555
36.6302,127.456
36.6309,127.4549
36.6298,127.4562
36.6296,127.457
36.6282,127.4573
36.63,127.4564
36.6295,127.4568
36.6285,127.4568
36.6295,127.457
36.6306,127.4564
36.6308,127.455
36.6304,127.4556
36.6306,127.4554
36.6305,127.4555
36.6295,127.4567
36.6302,127.4556
36.6304,127.4553
36.6293,127.4573
36.6309,127.455
36.63,127.4563
