k,metric,weights,mean_error_m,median_error_m,min_error_m,max_error_m
7,euclidean,uniform,102.65464794353412,44.9970942838621,12.273690128154392,477.7960065516523
7,euclidean,distance,103.88569351545064,45.593419386735775,12.334021267766044,482.9527040215146
7,manhattan,uniform,104.39887905204091,35.335943266403326,8.027618143976644,490.67632874650576
7,manhattan,distance,106.29859042187316,43.805863306004404,7.291071461324359,495.57627409199534
5,euclidean,uniform,110.60910095170357,45.33451839308671,11.332078362078347,477.32294518445894
5,manhattan,distance,110.62942103698722,47.3361431146024,4.4572941295165,490.4342005141225
5,manhattan,uniform,110.89237924022966,41.41255614661904,4.776107201065724,452.6278369689654
5,euclidean,distance,112.2679505816249,46.75863851353891,9.918394286428875,491.7140409700154
3,manhattan,uniform,112.41812669469186,40.4430431495342,4.721699318387527,511.35229973470433
3,manhattan,distance,115.7111649625846,43.448720990611086,5.062847804482296,556.0753457108211
3,euclidean,uniform,120.59252711208315,55.84527682327416,4.721699317610625,540.1169266404556
3,euclidean,distance,122.50535077151724,57.70377754880974,4.776716206403967,562.1731073051988
1,manhattan,distance,143.77399148919545,57.52772172533087,8.799999999041574,820.6894906109659
1,manhattan,uniform,143.77399148919756,57.52772172533087,8.799999999041574,820.6894906109659
1,euclidean,uniform,149.05237361896383,57.52772172533087,8.80000000029213,872.0923116271315
1,euclidean,distance,149.05237361901982,57.52772172533087,8.80000000029213,872.0923116271315
