k,metric,weights,mean_error_m,median_error_m,min_error_m,max_error_m
3,manhattan,distance,60.51059889550207,32.067359664501815,7.681281692992217,499.7534237839314
7,manhattan,distance,60.585881004683415,34.54683557364787,8.538067931205545,396.13630498137303
5,manhattan,distance,61.193280058173734,26.784874956460623,9.15183929284703,430.33052179809914
9,euclidean,distance,62.099971696255274,33.33245627778611,1.4873732015486927,395.0033484927202
3,manhattan,uniform,62.29746253771224,34.50185669982909,5.86666666686142,475.1313268739907
9,manhattan,distance,62.87368058809544,31.692101998993355,2.959932835680088,392.1232277788668
7,manhattan,uniform,62.95631031870817,40.64092521913683,8.779858674860638,364.1333062116116
5,euclidean,distance,63.01616822427446,33.45293172729755,6.36530246292199,457.9189625512059
5,manhattan,uniform,63.480582504847845,37.20546089534925,9.691088688856437,398.2400688008737
7,euclidean,distance,63.64708946214069,33.96924081650498,3.165519193701651,421.13117123138284
9,euclidean,uniform,63.81683023166851,40.23719781670427,1.233333334425879,371.4246687663788
11,manhattan,distance,63.90750679603109,34.573110552120646,7.942047081665607,393.4096260961318
13,manhattan,distance,64.00163668296865,36.721913495668105,2.152854471516478,414.1700667131958
3,euclidean,distance,64.07903652774803,32.76620409111596,9.31338684695283,495.4957675709392
13,euclidean,distance,64.30794844002061,40.63676000451359,1.9256146168663992,409.8894679671761
11,euclidean,distance,64.46981639651514,32.16511230588104,4.661909634306283,411.6257159311983
5,euclidean,uniform,65.51130885033798,40.35912404189105,7.381734212112114,435.64405332787453
9,manhattan,uniform,65.73514457535543,37.88248683549366,1.233333334425879,365.8262261996599
15,manhattan,distance,65.82383347215251,41.047527656331845,0.8460323241159992,419.1357046154008
13,euclidean,uniform,66.18052917664752,47.166653221533494,3.6739286163317,395.52093497044615
7,euclidean,uniform,66.34904698020893,36.34279569489391,4.04717084428429,397.4298677706248
13,manhattan,uniform,66.42541530309792,40.247416788468406,3.6739286163317,400.3140237758075
11,manhattan,uniform,66.55386652032834,37.38931825152907,11.214722467136609,371.7845311497059
17,manhattan,distance,66.67492468845174,39.38587443097626,1.993320088075964,427.17310370134436
3,euclidean,uniform,66.96037668767445,41.32263003353607,9.44339863444435,475.1313268739907
11,euclidean,uniform,67.00633808622464,41.99596776126113,3.355333732842316,395.00895784503246
15,euclidean,distance,67.10097966345987,41.38987655628989,4.0815599327653995,417.9386966115267
21,manhattan,distance,68.08765487704864,46.05811123284971,0.4895272530404211,431.6275197235043
15,manhattan,uniform,68.47939406707673,46.284378921711166,3.6787014617446965,408.27968452842754
1,manhattan,uniform,69.0581446844995,34.468309598406066,8.80000000029213,425.3999999992996
1,manhattan,distance,69.0581446845657,34.46830959888463,8.80000000029213,425.3999999992996
17,euclidean,distance,69.07043611600855,45.33505208968178,3.309968909811272,417.9940205553882
17,manhattan,uniform,69.19880155258797,44.914248652395386,3.1737733626751883,419.3458841495582
15,euclidean,uniform,69.68209772434953,50.14118254682612,1.3871954114680836,406.9090993229276
21,manhattan,uniform,71.36181982582951,47.742296103866266,3.3726423697218753,426.20728908124624
17,euclidean,uniform,71.57019475936427,46.36157905602816,1.2239959503104623,408.2729328302262
21,euclidean,distance,73.34884231842861,48.914275252776406,8.184853900010648,442.7037823721006
21,euclidean,uniform,76.51880042550475,56.14875180199608,7.143392042453766,438.3235136386522
1,euclidean,uniform,81.60994318921122,39.26226671412983,8.80000000029213,820.6894906109659
1,euclidean,distance,81.6099431893491,39.26226671412983,8.80000000029213,820.6894906109659
