lat_r,lon_r,88:A2:9E:9B:5E:6A,B8:27:EB:D3:40:06,D8:3A:DD:79:8E:BF,D8:3A:DD:79:8F:80,D8:3A:DD:C1:88:BD
36.6255,127.4571,-74.88235294117646,-79.03846153846153,-67.89473684210526,-90.1,-76.85714285714286
36.6282,127.4573,,-92.25,-93.0,-87.0,
36.6285,127.4568,-73.78571428571429,-79.625,-78.0,-78.0,
36.6285,127.4569,-84.0,-73.6923076923077,,-86.0,
36.6287,127.4606,-81.2442396313364,-80.46648044692738,-73.47328244274809,-78.8135593220339,-73.0
36.6288,127.4579,-90.0,-75.82857142857142,-69.58823529411765,,
36.6289,127.4571,-82.72727272727273,-81.0952380952381,-85.8,-75.1304347826087,
36.6291,127.4575,,-87.60606060606061,-83.45945945945945,-102.0,
36.6291,127.4577,-75.0,,-80.0,-83.6,
36.6292,127.4573,,-76.34782608695652,-76.59649122807018,-84.0,
36.6292,127.4575,-82.46666666666667,-72.73333333333333,-86.0,-54.5,
36.6292,127.4577,-92.0,-73.8,-63.22222222222222,,
36.6293,127.4571,,-90.4,-96.33333333333333,-100.0,
36.6293,127.4572,-65.0,-86.33333333333333,-92.56521739130434,,
36.6293,127.4573,-91.0,-79.66666666666667,-87.0,-91.0,
36.6294,127.4569,-99.5,-79.52631578947368,-78.1875,-98.0,
36.6294,127.457,-89.5,-77.51898734177215,-89.17647058823529,-93.4,
36.6294,127.4571,-91.0,-80.4,-88.5,-93.0,
36.6294,127.4573,-85.0,-75.0,-83.0,,
36.6294,127.4574,-84.55882352941177,-76.29411764705883,-85.72727272727273,-91.95,
36.6295,127.4567,,-82.0,-98.0,-93.0,
36.6295,127.4568,-97.0,-84.53846153846153,-98.33333333333333,-94.45454545454545,
36.6295,127.4569,-93.66666666666667,-82.25925925925925,-96.0,-89.25,
36.6295,127.457,-88.0,-71.5,-82.0,,
36.6295,127.4572,-84.0,-76.5,-92.0,,
36.6295,127.4574,-76.4090909090909,-83.33333333333333,,-91.0,
36.6296,127.4566,-81.95454545454545,-84.0,,-88.06666666666666,
36.6296,127.4567,-94.0,-85.47368421052632,,-88.42105263157895,
36.6296,127.4568,-80.5,-77.33333333333333,,-88.5,
36.6296,127.457,-89.72151898734177,-86.97297297297297,-88.8,-79.77777777777777,-90.0
36.6296,127.4571,-90.0,-75.875,-88.0,,
36.6297,127.4559,-75.3,-81.66666666666667,,-74.20454545454545,
36.6297,127.4564,-83.58823529411765,-87.15384615384616,,-88.92857142857143,
36.6297,127.4565,-86.875,-83.93103448275862,,-86.05555555555556,
36.6297,127.4566,-88.08333333333333,-86.78947368421052,,-81.08333333333333,
36.6297,127.4568,-83.5,-74.0,,-53.0,
36.6297,127.4569,-83.5,-75.28571428571429,,-84.0,
36.6298,127.4562,-78.46153846153847,-88.83333333333333,,-81.28571428571429,
36.6298,127.4563,-63.32786885245902,-86.04166666666667,,-79.15094339622641,
36.6298,127.4564,-75.35897435897436,-86.5,,-83.83333333333333,
36.6298,127.4566,-77.23809523809524,-78.27450980392157,,-73.61111111111111,-88.0
36.6298,127.4567,-78.425,-77.5,,-54.46376811594203,-88.5
36.6298,127.4568,-82.5,-77.16666666666667,-92.0,,
36.6299,127.456,-82.0,-85.0,,-75.0,
36.6299,127.4561,-85.5909090909091,-92.0,,-85.0,
36.6299,127.4562,-78.88679245283019,-79.26506024096386,-85.66666666666667,-85.45,
36.6299,127.4564,-81.6875,-81.0,,-63.1875,
36.6299,127.4565,-73.57142857142857,-82.5,,-90.5,
36.63,127.4559,-84.125,-78.28,-69.4375,-80.35714285714286,-99.0
36.63,127.456,-87.45454545454545,-89.11111111111111,,-63.11666666666667,-90.0
36.63,127.4561,-81.75,-79.0,,-77.2,
36.63,127.4563,-72.44,-87.16666666666667,,-85.6,
36.63,127.4564,-79.75,-80.0,,-88.0,
36.6301,127.4557,-92.6,-93.0,,-89.75,
36.6301,127.4558,-96.83333333333333,-93.6,,-85.38095238095238,
36.6301,127.4559,-89.5,-95.25,,-82.0,
36.6301,127.456,-80.0,-80.5,,-71.16666666666667,
36.6301,127.4561,-72.46153846153847,-72.33333333333333,-73.0,-71.0,-86.5
36.6301,127.4562,-83.96551724137932,-88.5,,-56.02512562814071,-86.66666666666667
36.6302,127.4555,-92.5,-98.66666666666667,,-92.0,-102.0
36.6302,127.4556,-96.55555555555556,-97.0,,-89.07692307692308,-98.0
36.6302,127.4557,-96.2,-96.6,,-90.86666666666666,
36.6302,127.4558,-86.47826086956522,-89.33333333333333,,-56.04545454545455,
36.6302,127.456,-80.85714285714286,-84.5,,-74.06666666666666,-86.5
36.6302,127.4561,-88.0,-91.5,,-73.0,
36.6303,127.4554,-95.85714285714286,,,-91.0,-97.66666666666667
36.6303,127.4555,-97.66666666666667,-100.5,,-87.375,-97.75
36.6303,127.4557,-81.6,-64.45454545454545,-84.66666666666667,-74.07692307692308,-97.0
36.6303,127.4558,-84.33962264150944,-88.18181818181819,,-56.81040892193309,-90.75
36.6303,127.4559,-76.13636363636364,-79.859375,,-75.2,
36.6304,127.4552,-98.25,-97.0,,-91.6,-98.0
36.6304,127.4553,-98.0,-95.66666666666667,,-91.5,-95.77777777777777
36.6304,127.4554,-93.0,-91.0,,-58.166666666666664,-98.0
36.6304,127.4555,-89.33333333333333,-83.5,,-71.66666666666667,-86.0
36.6304,127.4556,-87.0,-86.66666666666667,,-75.66666666666667,-91.4
36.6304,127.4557,-89.5,-86.5,,-72.57894736842105,-89.0
36.6304,127.4558,-87.3,-84.0,,-75.28571428571429,
36.6304,127.4566,-91.66666666666667,,,-51.714285714285715,-91.66666666666667
36.6305,127.455,-97.0,,,-92.0,-86.0
36.6305,127.4551,-95.83333333333333,-102.0,,-94.28571428571429,-92.92857142857143
36.6305,127.4552,-96.75,,,-93.375,-92.5
36.6305,127.4554,-88.83333333333333,-82.0,,-73.25,-87.875
36.6305,127.4555,-86.75,-83.5,,-80.05882352941177,-91.0
36.6306,127.455,-75.66666666666667,-92.33333333333333,,-84.8409090909091,-93.6
36.6306,127.4552,-85.66666666666667,-89.0,,-75.9,-89.0
36.6306,127.4553,-96.25,-91.0,,-91.14285714285714,-88.33333333333333
36.6306,127.4554,-93.0,,,-93.0,-86.5
36.6306,127.4564,-84.74285714285715,,,-53.074074074074076,-89.2
36.6308,127.4548,-96.0,,,-85.5,-85.5
36.6308,127.455,-77.72222222222223,-86.33333333333333,,-76.67857142857143,
36.6309,127.4547,-74.96666666666667,-81.23076923076923,-64.47368421052632,-85.2,-88.78571428571429
36.6309,127.4549,-92.0,,,-90.0,-88.63157894736842
36.6309,127.455,-89.55555555555556,-89.25,,-85.26666666666667,-85.7
36.631,127.4544,-78.39393939393939,-85.22916666666667,-91.16666666666667,-83.51724137931035,
36.6315,127.4537,-90.6774193548387,-93.32,,-81.93478260869566,-81.25
36.6317,127.4536,-83.92592592592592,-89.0,,-74.26086956521739,
36.6322,127.4534,-82.08888888888889,-88.27777777777777,,-78.8913043478261,
36.6325,127.4526,-82.83333333333333,-85.01886792452831,-76.65217391304348,-79.19642857142857,-83.3157894736842
